Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
260-266 Huntington Avenue,Yes,Performing Arts,260-266 Huntington Avenue,02215," 50,266 ",69.3,Not Available,,Performing Arts,1924, 238.6 ,4.7," 3,484,312.0 ",47.6%,52.4%,,16.0,,,,402290000,"2014, 2015, 2016, 2017, "
264-270 Comm Ave,Yes,College/University,262-270 Comm Ave,02215," 60,170 ",75.8,Not Available,,College/University,1900, 274.0 ,4.6," 4,559,262.5 ",21.6%,78.4%,,23.8,,This is a dormitory building. ,,"503192000, 503193000","2016, 2017, "
264-270 Bay State Road,Yes,Office,264-270 Bay State Road,02215," 65,016 ",340.7,7,,Office,1913," 1,223.1 ",18.8," 22,151,452.2 ",6.5%,93.5%,,26.5,,,,2100360000,"2014, 2015, 2016, 2017, "
Babcock Tower,Yes,Multifamily Housing,270 Babcock Street,02215," 155,384 ",79.7,15,,"Multifamily Housing, Parking",1972, 942.3 ,6.1," 12,388,448.0 ",71.0%,29.0%,,49.8,,,,2100470000,"2015, 2016, 2017, "
273-277 Babcock Street,Yes,Residence Hall/Dormitory,273-277 Babcock Street,02215," 451,494 ",75.4,52,,Residence Hall/Dormitory,1963," 2,303.6 ",5.1," 34,040,641.4 ",45.0%,55.0%,,37.0,,,,2100402000,"2014, 2015, 2016, 2017, "
278-286 Babcock Street,Yes,Parking,278-286 Babcock Street,02215," 67,992 ",13.5,Not Available,,Parking,1991, 78.4 ,1.2," 917,383.3 ",100.0%,,,30.9,,,,2100479000,"2014, 2015, 2016, 2017, "
Boylston 1078 LP,Yes,Mixed Use Property,2-8 Hemenway Street,02215," 41,250 ",6.1,100,,"Convenience Store without Gas Station, Multifamily Housing, Office, Restaurant",1899, 21.6 ,0.5," 252,213.5 ",100.0%,,,93.0,,,,401384000,"2017, "
"285 Babcock, Case Center",Yes,Indoor Arena,"285 Babcock, Case Center",02215," 131,857 ",294.2,Not Available,,Indoor Arena,1972," 2,556.2 ",19.4," 38,795,194.6 ",39.5%,60.5%,,126.5,,Shares electric meter with 273-277 Babcock Street,,2100402000,"2014, 2015, 2016, 2017, "
Fenway Studios,Yes,Other - Lodging/Residential,30 Ipswich Street ,02215," 66,000 ",51.9,Not Available,,Other,1990, 186.3 ,2.8," 3,426,418.5 ",3.9%,96.1%,,12.1,,,,504174000,"2017, "
300 Babcock Street,Yes,College/University,300 Babcock Street,02215," 88,000 ",62.8,Not Available,,College/University,1986, 362.2 ,4.1," 5,526,473.5 ",38.4%,61.6%,,3.4,,,,2100412001,"2014, 2015, 2016, 2017, "
30-38 Cummington Street,Yes,Laboratory,30-38 Cummington Street,02215," 36,563 ",213.1,Not Available,,Laboratory,1917, 539.1 ,14.7," 7,792,254.8 ",49.7%,50.3%,,37.0,,,,2100287000,"2014, 2015, 2016, 2017, "
Queensberry Place Condominium,Yes,Multifamily Housing,31-35 Queensberry Street,02215," 80,000 ",Not Available,Not Available,,Multifamily Housing,1901, Not Available ,Not Available, Not Available ,,,,14.7,,,,504245000,"2017, "
33 Harry Agganis Way,Yes,Residence Hall/Dormitory,33 Harry Agganis,02215," 399,578 ",82.9,59,,Residence Hall/Dormitory,2008," 2,282.5 ",5.7," 33,120,300.4 ",48.9%,51.1%,,30.7,,,, 2100401000,"2014, 2015, 2016, 2017, "
BIDMC East && West Campus,Yes,Hospital (General Medical & Surgical),330 Brookline Ave.,02215," 2,497,517 ",329.8,21,,"Hospital (General Medical & Surgical), Laboratory, Parking",1975," 57,520.7 ",23.0," 823,580,613.0 ",26.9%,0.4%,44.9%,28.4,,"East & West Campus building meter data is combined.// BIDMC is reporting on Parcel ID 0401944000 which BIDMC owns (not NEDH Corp as per Boston Assessing Dept records). The parcel contains several buildings and is part of the West Campus.// BIDMC’s energy use/SF and Energy Star score reflect our energy intensive patient care and substantial lab research uses that have fresh air needs that drive up Btu/sf. BIDMC buys energy products from a district combined heat and power plant; such cogen energy savings is not reflected in this energy reporting platform. While new medical equipment and higher intensity clinical uses tend to increase hospital energy needs incrementally, BIDMC invests hundreds of thousands of dollars annually on energy savings projects (excluding LDC incentives). Due to projects undertaken since 2004, BIDMC saves  95,020 million Btu and 2,200 KCF of water a year.  For more information see the Green Ribbon Commission at http://www.greenribboncommission.org/health-care.",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401862000 0401861000 0401944000 0401954000 0401964001 0401942000,"2014, 2015, 2016, 2017, "
DFCI - Jimmy Fund Building,Yes,Other,35 Binney Street,02215," 101,514 ",639.4,Not Available,,Other,1952," 4,482.9 ",44.2," 64,910,929.7 ",24.0%,,48.3%,61.1,,"Jimmy Fund Building

The Jimmy Fund Building contains a variety of space uses, including medical research laboratories, and clinic space.  DFCI has, and will continue to, reduced the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.",,401898000,"2014, 2015, 2016, 2017, "
3-5 Cummington Street (616-620 Comm. Ave.),Yes,Laboratory,3-5 Cummington Street (616-620 Comm. Ave.),02215," 149,118 ",166.3,Not Available,,Laboratory,1913," 1,689.3 ",11.3," 24,798,863.0 ",46.4%,53.6%,,16.9,,,,2100350000,"2014, 2015, 2016, 2017, "
Longwood Center,Yes,Laboratory,360 Longwood Ave,02215," 413,799 ",254.8,Not Available,,"Laboratory, Parking",2014," 6,839.2 ",16.5," 105,434,807.0 ",35.8%,63.4%,,14.2,,,,0401967010,"2017, "
Peterborough Housing: 36-46 Peterborough,Yes,Multifamily Housing,36-46 Peterborough Street,02215," 57,061 ",93.3,100,,Multifamily Housing,1978, 397.7 ,7.0," 5,322,909.9 ",12.8%,4.4%,,70.3,,"Building split up over four parcel ID #'s 504232000; 504233000; 504234000; 504235000
 Per the city instruction 3/30/17: The ideal is to always go for reporting buildings as separate entries in Portfolio Manager. If they have multiple parcel numbers, than just list all of the parcel numbers in the “Boston Energy Reporting ID” section with a comma in between However if you have multiple separate buildings that all share energy use and have joint meters that can't be separated, it gets more complicated. If it seems reasonable and appropriate, than we usually ask that the total energy/water use is divided up between the different buildings by square footage and each building be reported separately with that noted in comments section.In this case, as these buildings are all residential usage, I would say take whatever joint meters they have and divy out the energy usage by a ratio of square footage. ",,504232000; 504233000; 504234000; 504235000,"2017, "
The Eliot Hotel,Yes,Hotel,370 Commonwealth avenue,02215," 72,950 ",1.3,100,,Hotel,1925, 8.4 ,0.1," 98,246.2 ",100.0%,,,5.5,,,,0503800000,"2014, 2015, 2016, 2017, "
Windsor Place Condominium,Yes,Multifamily Housing,"388, 390 and 396 Commonwealth Avenue",02215," 120,295 ",76.5,60,,"Multifamily Housing, Office",1897, 611.4 ,5.1," 9,203,381.1 ",41.2%,58.8%,,36.1,,,,503810000,"2015, 2016, 2017, "
Peterborough Housing: 39 Peterborough (35-45 Peterborough),Yes,Multifamily Housing,39 Peterborough (35-45 Peterborough),02215," 75,770 ",62.1,100,,Multifamily Housing,1978, 352.1 ,4.6," 4,703,351.2 ",18.1%,6.6%,,38.1,,"Boston Energy Reporting ID: 504221000; 0504222000; 0504223000; 0504220000
Per the city instruction 3/30/17: The ideal is to always go for reporting buildings as separate entries in Portfolio Manager. If they have multiple parcel numbers, than just list all of the parcel numbers in the “Boston Energy Reporting ID” section with a comma in between However if you have multiple separate buildings that all share energy use and have joint meters that can't be separated, it gets more complicated. If it seems reasonable and appropriate, than we usually ask that the total energy/water use is divided up between the different buildings by square footage and each building be reported separately with that noted in comments section.In this case, as these buildings are all residential usage, I would say take whatever joint meters they have and divy out the energy usage by a ratio of square footage. ",,504221000; 0504222000; 0504223000; 0504220000,"2017, "
Fenway Park,Yes,Stadium (Open),4 Yawkey Way,02215," 610,000 ",125.3,Not Available,,Stadium (Open),1912," 5,712.9 ",9.4," 76,414,536.3 ",67.0%,33.0%,,47.1,,,,"504203000, 504200010, 504199000","2014, 2015, 2016, 2017, "
Longwood Galleria,Yes,Mixed Use Property,400 Brookline Avenue,02215," 292,745 ",127.8,Not Available,,"Hotel, Multifamily Housing, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1969," 3,007.3 ",10.3," 37,422,210.5 ",75.8%,3.6%,20.6%,66.1,,"This is a mixed-use property consisting of 154 apartments, office space, retail space, food court,  hotel and parking garage.",,0401914000,"2014, 2015, 2016, 2017, "
Somerset Condominium,Yes,Multifamily Housing,"400, 416, 418 Commonwealth Ave, 429 Newbury Street",02215," 155,880 ",56.1,73,,"Multifamily Housing, Office",1897, 688.2 ,4.4," 8,750,206.1 ",79.0%,21.0%,,30.4,,,,503809000,"2015, 2016, 2017, "
Landmark Center,Yes,Office,401 Park Drive,02215," 1,003,987 ",74.5,82,"2016, 2015, 2014, 2013","Data Center, Non-Refrigerated Warehouse, Office, Other - Mall, Retail Store",1928," 5,550.1 ",5.5," 74,819,581.0 ",65.2%,34.8%,,12.2,,,,2100077000,"2014, 2015, 2016, 2017, "
40-48 Buswell Street,Yes,Residence Hall/Dormitory,40-48 Buswell Street,02215," 58,302 ",109,74,,Residence Hall/Dormitory,1896, 358.2 ,6.1," 6,352,137.8 ",10.1%,89.9%,,44.1,,,,"2100235000, 2100236000, 2100237000, 2100238000","2014, 2015, 2016, 2017, "
DFCI - Mayer Building,Yes,Other,420 Brookline Ave,02215," 121,516 ",405.8,Not Available,,Other,1986," 3,492.3 ",28.7," 49,310,461.4 ",31.6%,,38.7%,25.9,,"The Mayer Building space is primarily medical research laboratories. DFCI has, and will continue to, reduced the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.",,401913000,"2014, 2015, 2016, 2017, "
42-44 Cummington Street,Yes,Laboratory,42-44 Cummington Street,02215," 96,500 ",277.7,Not Available,,Laboratory,1968," 1,915.9 ",19.9," 26,794,702.4 ",56.9%,43.1%,,29.5,,,,2100287000,"2014, 2015, 2016, 2017, "
DFCI - Dana Building,Yes,Other,44 Binney st,02215," 405,175 ",382,Not Available,,"Other, Parking",1975," 10,795.1 ",26.6," 154,766,169.6 ",28.2%,,40.9%,15.4,,"Dana Building
Correct Gross Square Feet is 405,175.

The Dana Building contains a mix of space uses, including medical research laboratories, and clinical space that feature energy intensive diagnostic equipment such as MRI's and Linear accelerators.  DFCI has, and will continue to, reduce the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.

The parking garage has been changed into conditioned space.  Total conditioned space is now 405,175
",,401913000,"2014, 2015, 2016, 2017, "
Back Bay Maitenence,Municipal ,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",440 Park Dr,02215," 10,822 ",45.5,Not Available,,Other,2000, 29.8 ,2.8," 492,201.3 ",22.8%,77.2%,,8.0,,,,401994000,"2016, 2017, "
DFCI - Yawkey Building,Yes,Other,450 Brookline ave,02215," 291,451 ",401.2,5,,Medical Office,2010," 8,123.2 ",27.9," 116,944,356.7 ",27.5%,,40.7%,18.2,,"The Yawkey Cancer Care Center Building contains a mix of space uses, including clinical laboratories, clinic space, and a commercial kitchen and cafeteria.   DFCI has, and will continue to, reduced the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.",,401916000,"2014, 2015, 2016, 2017, "
Medical Area Total Energy Plant,Yes,Energy/Power Station,474 Brookline Avenue,02215," 259,500 ",103.4,Not Available,,Energy/Power Station,1980," 1,870.2 ",7.2," 26,819,999.3 ",23.3%,,68.6%,3.5,,"MATEP generates steam, chilled water and electricity from the on-site combustion of natural gas and fuel oil for distribution to customers and to supply the MATEP building with steam for space heating, chilled water for space cooling, and electricity for lighting and the operation of equipment not related to energy generation (the MATEP building is analogous to a MATEP ""customer""). MATEP also purchases electricity. However, all of the purchased electric power is either consumed by equipment used to generate energy (i.e. chillers) or is passed directly on to customers. Building energy use is calculated based on estimated equipment loads.

MATEP uses water supplied by the Boston Water & Sewer Commission/MWRA to produce boiler feed and chilled water, exhaust waste heat to the atmosphere via evaporation, and operate and cool energy generation equipment. A small portion of this water is also used to supply the building itself for sanitary purposes. Building water use is estimated.",,0401930000,"2014, 2015, 2016, 2017, "
CONGREGATION ADATH ISRAEL,Yes,Worship Facility,477 Longwood Avenue,02215," 110,959 ",27.8,Not Available,,Worship Facility,1972, 263.9 ,2.4," 3,088,058.2 ",100.0%,,,7.0,,,,401995000,"2016, 2017, "
DFCI - Shields Warren Building,Yes,Medical Office,50 Binnet Street,02215," 46,640 ",138.7,41,,Medical Office,1980, 452.4 ,9.7," 6,470,334.7 ",39.2%,,9.3%,8.8,,,,401914002,"2014, 2016, 2017, "
MCKINLEY ST MARYS,Municipal ,K-12 School,50 St. Marys St.,02215," 17,299 ",57.8,97,,K-12 School,1923, 58.3 ,3.4," 1,000,684.3 ",15.9%,84.1%,,,,,,2100255000,"2016, 2017, "
Hotel Commonwealth,Yes,Hotel,500 Commonwealth Avenue,02215," 205,000 ",145.6,8,,"Hotel, Parking",2003," 2,102.0 ",10.3," 29,843,131.7 ",53.6%,46.4%,,65.3,,,,0503934020,"2016, 2017, "
The 51 Park drive,Yes,Multifamily Housing,51 park drive,02215," 18,322 ",81.3,26,,Multifamily Housing,1920, 107.8 ,5.9," 1,489,714.6 ",59.5%,40.5%,,73.6,,,,504250000,"2017, "
512 Beacon Street,Yes,Residence Hall/Dormitory,512 Beacon Street,02215," 70,768 ",80,81,2013,Residence Hall/Dormitory,1926, 325.3 ,4.6," 5,664,515.7 ",13.3%,86.7%,,39.2,,,,0503696000,"2014, 2015, 2016, 2017, "
514-522 Park Drive,Yes,Residence Hall/Dormitory,514-522 Park Drive,02215," 36,968 ",80.1,87,,Residence Hall/Dormitory,1915, 171.1 ,4.6," 2,962,850.6 ",14.3%,85.7%,,31.9,,,,2100257000,"2014, 2015, 2016, 2017, "
The Charlesview Condominium,Yes,Other - Lodging/Residential,534 Beacon Street ,02215," 518,155 ",Not Available,Not Available,,Other - Lodging/Residential,2001, -   ,0.0, Not Available ,,,,5.8,,"This is a condominium building. There is not parking garage located at the building.  There is a small parking lot located at the rear of the building.  Parking spaces are not equal to the amount of condo units located in the building. 
",,0503703000,"2015, 2017, "
Residence Campus,Voluntary,College/University,54 Pilgrim Road,02215," 334,200 ",109.1,Not Available,,College/University,1905," 2,196.0 ",6.6," 36,456,137.8 ",30.2%,69.8%,,37.4,,,,0402012000 0402015000 0402013000 0402017000 0402016000 0402022000,"2017, "
540 Comm Ave,Yes,Mixed Use Property,540 Commonwealth Avenue,02215," 35,800 ",117.5,Not Available,,"Bank Branch, Fast Food Restaurant, Other - Education",1925, 321.0 ,9.0," 4,205,941.7 ",61.0%,22.5%,,22.2,,,,0503938000,"2017, "
565-575 Commonwealth Avenue,Yes,Residence Hall/Dormitory,565-575 Commonwealth Avenue,02215," 87,619 ",99.2,45,,Residence Hall/Dormitory,1992, 573.9 ,6.5," 8,693,268.2 ",39.9%,60.1%,,50.0,,,,050398300,"2014, 2015, 2016, 2017, "
Kenmore Tower Corporation: 566 Commonwealth Avenue,Yes,Multifamily Housing,566 Commonwealth Avenue,02215," 146,795 ",57.8,59,,Multifamily Housing,1965, 639.9 ,4.4," 8,488,822.3 ",38.0%,14.7%,,27.7,,"Building and Apt Meters were listed for Natural Gas Information, but there were no Apt Meters entered. 114 Units entered, but only 99 bedrooms, so I changed # of bedrooms to be 114. ",,0504140001,"2015, 2017, "
577-599 Commonwealth Avenue (595 Comm Ave),Yes,Office,577-599 Commonwealth Avenue (595 Comm Ave),02215," 424,121 ",91.3,68,,"College/University, Office, Parking",1996," 2,819.5 ",6.6," 38,722,403.4 ",60.9%,39.1%,,17.0,,,,0503991000,"2014, 2015, 2016, 2017, "
580 Commonwealth Avenue,Yes,Multifamily Housing,580 Commonwealth Avenue,02215," 126,333 ",90.8,4,,Multifamily Housing,2004, 784.0 ,6.2," 11,467,261.4 ",47.0%,52.7%,,51.9,,,, 0504140000,"2014, 2015, 2016, 2017, "
582-596 Commonwealth Avenue (590 Comm / 712 Bea),Yes,Laboratory,582-596 Commonwealth Avenue (590 Comm / 712 Bea),02215," 280,838 ",321.5,Not Available,,Laboratory,1983," 5,996.7 ",21.4," 90,278,874.7 ",41.2%,58.8%,,15.5,,,,0504135010,"2014, 2015, 2016, 2017, "
Queensberry Street Garage,Yes,Parking,59-75 queensberry street,02215," 50,600 ",3.6,Not Available,,Parking,1920, 15.6 ,0.3," 182,448.4 ",100.0%,,,0.7,,,,0504294000,"2014, 2016, 2017, "
605-615 Commonwealth Avenue (2 Silber Way),Yes,College/University,605-615 Commonwealth Avenue (2 Silber Way),02215," 85,000 ",95.4,Not Available,,College/University,1981, 515.3 ,6.1," 8,105,982.9 ",32.3%,67.7%,,5.1,,,,0504081000,"2014, 2015, 2016, 2017, "
610 Beacon Street (30 Bay State Road),Yes,Residence Hall/Dormitory,610 Beacon Street (30 Bay State Road),02215," 185,149 ",75.8,80,,Residence Hall/Dormitory,1926, 828.8 ,4.5," 14,039,747.6 ",18.3%,81.7%,,40.5,,,,0503706000,"2014, 2015, 2016, 2017, "
610 Commonwealth Avenue,Yes,College/University,610 Commonwealth Avenue,02215," 170,000 ",11.2,Not Available,,College/University,2016, 163.2 ,1.0," 1,910,328.1 ",100.0%,,,,,,,2100350000,"2017, "
622-640 Commonwealth Avenue,Yes,College/University,622-640 Commonwealth Avenue,02215," 84,022 ",106.9,Not Available,,College/University,1902, 589.1 ,7.0," 8,979,111.1 ",38.6%,61.4%,,18.5,,,,2100348000,"2014, 2015, 2016, 2017, "
Queensberry Court Condominium,Yes,Multifamily Housing,62-66 Queensberry St,02215," 48,000 ",86.3,88,,Multifamily Housing,1920, 245.2 ,5.1," 4,143,546.3 ",18.8%,81.2%,,39.4,,Gross floor area was estimated using the total rentable area plus common areas.,,504283000,"2015, 2016, 2017, "
631-639 Commonwealth Avenue,Yes,College/University,631-639 Commonwealth Avenue,02215," 113,621 ",91.8,Not Available,,College/University,1957, 745.7 ,6.6," 10,428,259.5 ",56.7%,43.0%,,15.5,,,,0504089000,"2014, 2015, 2016, 2017, "
642-648 Beacon Street,Yes,Office,642-648 Beacon Street,02215," 58,275 ",61.3,81,,Office,1990, 234.6 ,4.0," 3,573,606.8 ",53.2%,46.8%,,22.9,,"Electric usage was provided directly by Eversource through the portal request (and they confirmed it accounted for the whole building)

Gas usage provided directly by National Grid and confirmed it is for the whole building. ",,503749000,"2017, "
Boston Hotel Buckminster,Yes,Hotel,645 Beacon Street,02215," 105,000 ",73,70,,"Fast Food Restaurant, Hotel, Restaurant",1895, 556.0 ,5.3," 7,662,989.5 ",60.1%,39.9%,,86.0,,,,0504150000,"2014, 2017, "
64-86 Cummington Street,Yes,College/University,64-86 Cummington Street,02215," 49,163 ",35.4,Not Available,,College/University,1909, 148.6 ,3.0," 1,741,296.1 ",98.9%,,,6.0,,,,2100281000,"2014, 2015, 2016, 2017, "
660 Beacon Street,Yes,Office,660 Beacon Street,02215," 63,423 ",113.5,6,,Office,1990, 551.1 ,8.7," 7,196,582.2 ",96.2%,,,12.5,,"Eversource provided the whole building electric usage directly through the online request process. 

Supreme Energy provided the consumption report for all 2016 oil deliveries.

There is no gas usage at the building. ",,503752000,"2017, "
664 Malvern Street,Yes,Other - Stadium,664 Malvern Street,02215," 73,500 ",0.3,Not Available,,Other - Stadium,1962, 1.7 ,0.0," 19,983.0 ",100.0%,,,9.1,,,,2100415000,"2014, 2015, 2016, 2017, "
675-725 Commonwealth Avenue,Yes,College/University,675-725 Commonwealth Avenue,02215," 328,045 ",88.6,Not Available,,College/University,1938," 1,790.5 ",5.5," 29,070,714.2 ",26.2%,73.8%,,9.7,,,,25887291000,"2014, 2015, 2016, 2017, "
6-8 St. Mary's Street,Yes,Laboratory,6-8 St. Mary's Street,02215," 289,059 ",219.1,Not Available,,Laboratory,1997," 4,378.0 ",15.1," 63,335,511.0 ",49.5%,50.5%,,26.3,,,,2100273000,"2014, 2015, 2016, 2017, "
700 Beacon Street,Yes,College/University,700 Beacon Street,02215," 37,345 ",52.1,Not Available,,College/University,1917, 126.7 ,3.4," 1,946,679.0 ",37.1%,62.9%,,0.0,,,,504144000,"2016, 2017, "
700 Commonwealth Avenue,Yes,Residence Hall/Dormitory,700 Commonwealth Avenue,02215," 425,007 ",86.3,75,,"Parking, Residence Hall/Dormitory",1966," 2,195.6 ",5.2," 36,697,880.7 ",20.8%,79.2%,,75.0,,,,2100347001,"2014, 2015, 2016, 2017, "
Peterborough Housing: 72 Peterborough St (72-82),Yes,Multifamily Housing,72 Peterborough St,02215," 34,760 ",95.1,100,,Multifamily Housing,1978, 256.2 ,7.4," 3,307,012.6 ",37.4%,4.4%,,71.9,,"All property buildings were not included on the CBL but brought this to the attention of the city in order to report on the buildings that were divided up over multiple parcel IDs. 
Per the city instruction: The ideal is to always go for reporting buildings as separate entries in Portfolio Manager. If they have multiple parcel numbers, than just list all of the parcel numbers in the “Boston Energy Reporting ID” section with a comma in between However if you have multiple separate buildings that all share energy use and have joint meters that can't be separated, it gets more complicated. If it seems reasonable and appropriate, than we usually ask that the total energy/water use is divided up between the different buildings by square footage and each building be reported separately with that noted in comments section.In this case, as these buildings are all residential usage, I would say take whatever joint meters they have and divy out the energy usage by a ratio of square footage. ",,504308000,"2015, 2017, "
7-21 Aberdeen Street,Yes,Multifamily Housing,7-21 Aberdeen Street,02215," 41,814 ",79.6,56,,Multifamily Housing,1915, 233.0 ,5.6," 3,327,043.9 ",20.1%,30.6%,,63.3,,,,2100139000,"2017, "
